Id,LotArea,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleCondition,SalePrice,SaleType
11,11200,Sawyer,1Story,5,5,1965,1965,TA,TA,No,Rec,906,Unf,0,134,1040,1040,0,1040,1,0,1,0,3,TA,5,Detchd,1965.0,Unf,1,384,TA,TA,0,0,0,0,0,0,NA,NA,2,2008,Normal,129500,WD
12,11924,NridgHt,2Story,9,5,2005,2006,Ex,TA,No,GLQ,998,Unf,0,177,1175,1182,1142,2324,1,0,3,0,4,Ex,11,BuiltIn,2005.0,Fin,3,736,TA,TA,147,21,0,0,0,0,NA,NA,7,2006,Partial,345000,New
13,12968,Sawyer,1Story,5,6,1962,1962,TA,TA,No,ALQ,737,Unf,0,175,912,912,0,912,1,0,1,0,2,TA,4,Detchd,1962.0,Unf,1,352,TA,TA,140,0,0,0,176,0,NA,NA,9,2008,Normal,144000,WD
14,10652,CollgCr,1Story,7,5,2006,2007,Gd,TA,Av,Unf,0,Unf,0,1494,1494,1494,0,1494,0,0,2,0,3,Gd,7,Attchd,2006.0,RFn,3,840,TA,TA,160,33,0,0,0,0,NA,NA,8,2007,Partial,279500,New
15,10920,NAmes,1Story,6,5,1960,1960,TA,TA,No,BLQ,733,Unf,0,520,1253,1253,0,1253,1,0,1,1,2,TA,5,Attchd,1960.0,RFn,1,352,TA,TA,0,213,176,0,0,0,NA,GdWo,5,2008,Normal,157000,WD
16,6120,BrkSide,1.5Unf,7,8,1929,2001,TA,TA,No,Unf,0,Unf,0,832,832,854,0,854,0,0,1,0,2,TA,5,Detchd,1991.0,Unf,2,576,TA,TA,48,112,0,0,0,0,NA,GdPrv,7,2007,Normal,132000,WD
17,11241,NAmes,1Story,6,7,1970,1970,TA,TA,No,ALQ,578,Unf,0,426,1004,1004,0,1004,1,0,1,0,2,TA,5,Attchd,1970.0,Fin,2,480,TA,TA,0,0,0,0,0,0,NA,NA,3,2010,Normal,149000,WD
18,10791,Sawyer,1Story,4,5,1967,1967,NA,NA,NA,NA,0,NA,0,0,0,1296,0,1296,0,0,2,0,2,TA,6,CarPort,1967.0,Unf,2,516,TA,TA,0,0,0,0,0,0,NA,NA,10,2006,Normal,90000,WD
19,13695,SawyerW,1Story,5,5,2004,2004,TA,TA,No,GLQ,646,Unf,0,468,1114,1114,0,1114,1,0,1,1,3,Gd,6,Detchd,2004.0,Unf,2,576,TA,TA,0,102,0,0,0,0,NA,NA,6,2008,Normal,159000,WD
20,7560,NAmes,1Story,5,6,1958,1965,TA,TA,No,LwQ,504,Unf,0,525,1029,1339,0,1339,0,0,1,0,3,TA,6,Attchd,1958.0,Unf,1,294,TA,TA,0,0,0,0,0,0,NA,MnPrv,5,2009,Abnorml,139000,COD
21,14215,NridgHt,2Story,8,5,2005,2006,Ex,TA,Av,Unf,0,Unf,0,1158,1158,1158,1218,2376,0,0,3,1,4,Gd,9,BuiltIn,2005.0,RFn,3,853,TA,TA,240,154,0,0,0,0,NA,NA,11,2006,Partial,325300,New
22,7449,IDOTRR,1.5Unf,7,7,1930,1950,TA,TA,No,Unf,0,Unf,0,637,637,1108,0,1108,0,0,1,0,3,Gd,6,Attchd,1930.0,Unf,1,280,TA,TA,0,0,205,0,0,0,NA,GdPrv,6,2007,Normal,139400,WD
23,9742,CollgCr,1Story,8,5,2002,2002,Gd,TA,No,Unf,0,Unf,0,1777,1777,1795,0,1795,0,0,2,0,3,Gd,7,Attchd,2002.0,RFn,2,534,TA,TA,171,159,0,0,0,0,NA,NA,9,2008,Normal,230000,WD
24,4224,MeadowV,1Story,5,7,1976,1976,Gd,TA,No,GLQ,840,Unf,0,200,1040,1060,0,1060,1,0,1,0,3,TA,6,Attchd,1976.0,Unf,2,572,TA,TA,100,110,0,0,0,0,NA,NA,6,2007,Normal,129900,WD
25,8246,Sawyer,1Story,5,8,1968,2001,TA,TA,Mn,Rec,188,ALQ,668,204,1060,1060,0,1060,1,0,1,0,3,Gd,6,Attchd,1968.0,Unf,1,270,TA,TA,406,90,0,0,0,0,NA,MnPrv,5,2010,Normal,154000,WD
26,14230,NridgHt,1Story,8,5,2007,2007,Gd,TA,No,Unf,0,Unf,0,1566,1566,1600,0,1600,0,0,2,0,3,Gd,7,Attchd,2007.0,RFn,3,890,TA,TA,0,56,0,0,0,0,NA,NA,7,2009,Normal,256300,WD
27,7200,NAmes,1Story,5,7,1951,2000,TA,TA,Mn,BLQ,234,Rec,486,180,900,900,0,900,0,1,1,0,3,Gd,5,Detchd,2005.0,Unf,2,576,TA,TA,222,32,0,0,0,0,NA,NA,5,2010,Normal,134800,WD
28,11478,NridgHt,1Story,8,5,2007,2008,Ex,TA,No,GLQ,1218,Unf,0,486,1704,1704,0,1704,1,0,2,0,3,Gd,7,Attchd,2008.0,RFn,3,772,TA,TA,0,50,0,0,0,0,NA,NA,5,2010,Normal,306000,WD
29,16321,NAmes,1Story,5,6,1957,1997,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,1600,0,1600,1,0,1,0,2,TA,6,Attchd,1957.0,RFn,1,319,TA,TA,288,258,0,0,0,0,NA,NA,12,2006,Normal,207500,WD
30,6324,BrkSide,1Story,4,6,1927,1950,TA,TA,No,Unf,0,Unf,0,520,520,520,0,520,0,0,1,0,1,Fa,4,Detchd,1920.0,Unf,1,240,Fa,TA,49,0,87,0,0,0,NA,NA,5,2008,Normal,68500,WD
31,8500,IDOTRR,2Story,4,4,1920,1950,TA,TA,No,Unf,0,Unf,0,649,649,649,668,1317,0,0,1,0,3,TA,6,Detchd,1920.0,Unf,1,250,TA,Fa,0,54,172,0,0,0,NA,MnPrv,7,2008,Normal,40000,WD
32,8544,Sawyer,1Story,5,6,1966,2006,TA,TA,No,Unf,0,Unf,0,1228,1228,1228,0,1228,0,0,1,1,3,Gd,6,Attchd,1966.0,Unf,1,271,TA,TA,0,65,0,0,0,0,NA,MnPrv,6,2008,Normal,149350,WD
33,11049,CollgCr,1Story,8,5,2007,2007,Ex,TA,Av,Unf,0,Unf,0,1234,1234,1234,0,1234,0,0,2,0,3,Gd,7,Attchd,2007.0,RFn,2,484,TA,TA,0,30,0,0,0,0,NA,NA,1,2008,Normal,179900,WD
34,10552,NAmes,1Story,5,5,1959,1959,TA,TA,No,Rec,1018,Unf,0,380,1398,1700,0,1700,0,1,1,1,4,Gd,6,Attchd,1959.0,RFn,2,447,TA,TA,0,38,0,0,0,0,NA,NA,4,2010,Normal,165500,WD
35,7313,NridgHt,1Story,9,5,2005,2005,Ex,TA,No,GLQ,1153,Unf,0,408,1561,1561,0,1561,1,0,2,0,2,Ex,6,Attchd,2005.0,Fin,2,556,TA,TA,203,47,0,0,0,0,NA,NA,8,2007,Normal,277500,WD
36,13418,NridgHt,2Story,8,5,2004,2005,Ex,TA,Av,Unf,0,Unf,0,1117,1117,1132,1320,2452,0,0,3,1,4,Gd,9,BuiltIn,2004.0,Fin,3,691,TA,TA,113,32,0,0,0,0,NA,NA,9,2006,Normal,309000,WD
37,10859,CollgCr,1Story,5,5,1994,1995,Gd,TA,No,Unf,0,Unf,0,1097,1097,1097,0,1097,0,0,1,1,3,TA,6,Attchd,1995.0,Unf,2,672,TA,TA,392,64,0,0,0,0,NA,NA,6,2009,Normal,145000,WD
38,8532,NAmes,1Story,5,6,1954,1990,TA,TA,No,Rec,1213,Unf,0,84,1297,1297,0,1297,0,1,1,0,3,TA,5,Attchd,1954.0,Fin,2,498,TA,TA,0,0,0,0,0,0,NA,NA,10,2009,Normal,153000,WD
39,7922,NAmes,1Story,5,7,1953,2007,TA,TA,No,GLQ,731,Unf,0,326,1057,1057,0,1057,1,0,1,0,3,Gd,5,Detchd,1953.0,Unf,1,246,TA,TA,0,52,0,0,0,0,NA,NA,1,2010,Abnorml,109000,WD
40,6040,Edwards,1Story,4,5,1955,1955,NA,NA,NA,NA,0,NA,0,0,0,1152,0,1152,0,0,2,0,2,Fa,6,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,6,2008,AdjLand,82000,WD
41,8658,NAmes,1Story,6,5,1965,1965,TA,TA,No,Rec,643,Unf,0,445,1088,1324,0,1324,0,0,2,0,3,TA,6,Attchd,1965.0,RFn,2,440,TA,TA,0,138,0,0,0,0,NA,GdWo,12,2006,Abnorml,160000,WD
42,16905,Timber,1Story,5,6,1959,1959,TA,TA,Gd,BLQ,967,Unf,0,383,1350,1328,0,1328,0,1,1,1,2,TA,5,Attchd,1959.0,RFn,1,308,TA,TA,0,104,0,0,0,0,NA,NA,7,2007,Normal,170000,WD
43,9180,SawyerW,SFoyer,5,7,1983,1983,Gd,TA,Av,ALQ,747,LwQ,93,0,840,884,0,884,1,0,1,0,2,Gd,5,Attchd,1983.0,RFn,2,504,TA,Gd,240,0,0,0,0,0,NA,MnPrv,12,2007,Normal,144000,WD
44,9200,CollgCr,1Story,5,6,1975,1980,Gd,TA,Av,LwQ,280,BLQ,491,167,938,938,0,938,1,0,1,0,3,TA,5,Detchd,1977.0,Unf,1,308,TA,TA,145,0,0,0,0,0,NA,MnPrv,7,2008,Normal,130250,WD
45,7945,NAmes,1Story,5,6,1959,1959,TA,TA,No,ALQ,179,BLQ,506,465,1150,1150,0,1150,1,0,1,0,3,TA,6,Attchd,1959.0,RFn,1,300,TA,TA,0,0,0,0,0,0,NA,NA,5,2006,Normal,141000,WD
46,7658,NridgHt,1Story,9,5,2005,2005,Ex,TA,No,GLQ,456,Unf,0,1296,1752,1752,0,1752,1,0,2,0,2,Ex,6,Attchd,2005.0,RFn,2,576,TA,TA,196,82,0,0,0,0,NA,NA,2,2010,Normal,319900,WD
47,12822,Mitchel,1.5Fin,7,5,2003,2003,Ex,TA,No,GLQ,1351,Unf,0,83,1434,1518,631,2149,1,0,1,1,1,Gd,6,Attchd,2003.0,RFn,2,670,TA,TA,168,43,0,0,198,0,NA,NA,8,2009,Abnorml,239686,WD
48,11096,Somerst,1Story,8,5,2006,2006,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,1656,0,1656,0,0,2,0,3,Gd,7,Attchd,2006.0,RFn,3,826,TA,TA,0,146,0,0,0,0,NA,NA,7,2007,Normal,249700,WD
49,4456,OldTown,2Story,4,5,1920,2008,TA,TA,No,Unf,0,Unf,0,736,736,736,716,1452,0,0,2,0,2,TA,8,NA,NA,NA,0,0,NA,NA,0,0,102,0,0,0,NA,NA,6,2009,Partial,113000,New
50,7742,Sawyer,1Story,5,7,1966,1966,TA,TA,No,BLQ,763,Unf,0,192,955,955,0,955,1,0,1,0,3,TA,6,Attchd,1966.0,Unf,1,386,TA,TA,0,0,0,0,0,0,NA,MnPrv,1,2007,Normal,127000,WD
51,13869,Gilbert,2Story,6,6,1997,1997,Gd,TA,Av,GLQ,182,Unf,0,612,794,794,676,1470,0,1,2,0,3,TA,6,Attchd,1997.0,Fin,2,388,TA,TA,0,75,0,0,0,0,NA,NA,7,2007,Normal,177000,WD
52,6240,BrkSide,1.5Fin,6,6,1934,1950,TA,TA,No,Unf,0,Unf,0,816,816,816,0,1176,0,0,1,0,3,TA,6,Detchd,1985.0,Unf,2,528,TA,TA,112,0,0,0,0,0,NA,MnPrv,9,2006,Normal,114500,WD
53,8472,IDOTRR,1Story,5,5,1963,1963,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,816,0,816,1,0,1,0,2,TA,5,CarPort,1963.0,Unf,2,516,TA,TA,106,0,0,0,0,0,NA,NA,5,2010,Normal,110000,WD
54,50271,Veenker,1Story,9,5,1981,1987,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,1842,0,1842,2,0,0,1,0,Gd,5,Attchd,1981.0,Fin,3,894,TA,TA,857,72,0,0,0,0,NA,NA,11,2006,Normal,385000,WD
55,7134,NAmes,SLvl,5,5,1955,1955,TA,TA,No,ALQ,384,Unf,0,0,384,1360,0,1360,0,0,1,0,3,TA,6,Detchd,1962.0,Unf,2,572,TA,TA,0,50,0,0,0,0,NA,MnPrv,2,2007,Normal,130000,WD
56,10175,NAmes,1Story,6,5,1964,1964,TA,TA,No,BLQ,490,Unf,0,935,1425,1425,0,1425,0,0,2,0,3,TA,7,Attchd,1964.0,RFn,2,576,TA,TA,0,0,0,407,0,0,NA,NA,7,2008,Normal,180500,WD
57,2645,Somerst,2Story,8,5,1999,2000,Gd,TA,No,GLQ,649,Unf,0,321,970,983,756,1739,1,0,2,1,3,Gd,7,Attchd,1999.0,Fin,2,480,TA,TA,115,0,0,0,0,0,NA,NA,8,2009,Abnorml,172500,WD
58,11645,CollgCr,2Story,7,5,2004,2004,Gd,TA,No,Unf,0,Unf,0,860,860,860,860,1720,0,0,2,1,3,Gd,7,Attchd,2004.0,RFn,2,565,TA,TA,0,70,0,0,0,0,NA,NA,8,2006,Normal,196500,WD
59,13682,StoneBr,2Story,10,5,2006,2006,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,1426,1519,2945,0,0,3,1,3,Gd,10,BuiltIn,2006.0,Fin,3,641,TA,TA,192,0,37,0,0,0,NA,NA,10,2006,Partial,438780,New
60,7200,CollgCr,1Story,5,7,1972,1972,TA,TA,Av,ALQ,632,Unf,0,148,780,780,0,780,0,0,1,0,2,TA,4,Detchd,1973.0,Unf,1,352,TA,TA,196,0,0,0,0,0,NA,MnPrv,1,2008,Normal,124900,WD
61,13072,SawyerW,1Story,6,5,2004,2004,Gd,TA,No,ALQ,941,Unf,0,217,1158,1158,0,1158,1,0,1,1,3,Gd,5,Detchd,2006.0,Unf,2,576,TA,TA,0,50,0,0,0,0,NA,NA,5,2006,Partial,158000,New
62,7200,IDOTRR,2.5Unf,5,7,1920,1996,TA,Fa,No,Unf,0,Unf,0,530,530,581,530,1111,0,0,1,0,3,Fa,6,Detchd,1935.0,Unf,1,288,TA,TA,0,0,144,0,0,0,NA,NA,3,2007,Normal,101000,WD
63,6442,NridgHt,1Story,8,5,2006,2006,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,1370,0,1370,0,0,2,0,2,Gd,6,Attchd,2006.0,RFn,2,484,TA,TA,120,49,0,0,0,0,NA,NA,10,2007,Normal,202500,WD
64,10300,OldTown,2Story,7,6,1921,1950,TA,TA,No,Unf,0,Unf,0,576,576,902,808,1710,0,0,2,0,3,TA,9,Detchd,1990.0,Unf,2,480,TA,TA,12,11,64,0,0,0,NA,GdPrv,4,2010,Normal,140000,WD
65,9375,CollgCr,2Story,7,5,1997,1998,Gd,TA,No,GLQ,739,Unf,0,318,1057,1057,977,2034,1,0,2,1,3,Gd,8,Attchd,1998.0,RFn,2,645,TA,TA,576,36,0,0,0,0,NA,GdPrv,2,2009,Normal,219500,WD
66,9591,NridgHt,2Story,8,5,2004,2005,Ex,TA,Av,Unf,0,Unf,0,1143,1143,1143,1330,2473,0,0,2,1,4,Gd,9,BuiltIn,2004.0,RFn,3,852,TA,TA,192,151,0,0,0,0,NA,NA,10,2007,Normal,317000,WD
67,19900,NAmes,1Story,7,5,1970,1989,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,2207,0,2207,1,0,2,0,3,TA,7,Attchd,1970.0,RFn,2,576,TA,TA,301,0,0,0,0,0,NA,NA,7,2010,Normal,180000,WD
68,10665,CollgCr,1Story,7,5,2003,2003,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,1479,0,1479,1,0,2,0,3,Gd,7,Attchd,2003.0,RFn,2,558,TA,TA,144,29,0,0,0,0,NA,NA,6,2007,Normal,226000,WD
69,4608,OldTown,1Story,4,6,1945,1950,TA,TA,No,Unf,0,Unf,0,747,747,747,0,747,0,0,1,0,2,TA,4,Attchd,1945.0,Unf,1,220,TA,TA,0,0,0,0,0,0,NA,NA,6,2010,Normal,80000,WD
70,15593,ClearCr,1.5Fin,7,4,1953,1953,TA,TA,No,BLQ,603,Unf,0,701,1304,1304,983,2287,0,0,2,0,3,TA,7,Attchd,1953.0,Fin,2,667,TA,TA,0,21,114,0,0,0,NA,NA,7,2006,Normal,225000,WD
71,13651,NAmes,1Story,7,6,1973,1973,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,2223,0,2223,1,0,2,0,3,TA,8,Attchd,1973.0,Fin,2,516,TA,TA,300,0,0,0,0,0,NA,NA,2,2007,Normal,244000,WD
72,7599,Mitchel,1Story,4,6,1982,2006,TA,TA,No,ALQ,565,Unf,0,280,845,845,0,845,1,0,1,0,2,TA,4,Detchd,1987.0,Unf,2,360,TA,TA,0,0,0,0,0,0,NA,NA,6,2007,Normal,129500,WD
73,10141,Gilbert,2Story,7,5,1998,1998,Gd,TA,No,Unf,0,Unf,0,832,832,885,833,1718,0,0,2,1,3,TA,7,Attchd,1998.0,Fin,2,427,TA,TA,0,94,0,0,291,0,NA,NA,12,2009,Normal,185000,WD
74,10200,NAmes,1Story,5,7,1954,2003,TA,TA,No,ALQ,320,BLQ,362,404,1086,1086,0,1086,1,0,1,0,3,TA,6,Attchd,1989.0,Unf,2,490,TA,TA,0,0,0,0,0,0,NA,GdWo,5,2010,Normal,144900,WD
75,5790,OldTown,2Story,3,6,1915,1950,Fa,TA,No,Unf,0,Unf,0,840,840,840,765,1605,0,0,2,0,3,TA,8,Detchd,1915.0,Unf,1,379,TA,TA,0,0,202,0,0,0,NA,NA,5,2010,Normal,107400,WD
76,1596,MeadowV,SLvl,4,5,1973,1973,Gd,TA,Gd,GLQ,462,Unf,0,0,462,526,462,988,1,0,1,0,2,TA,5,BuiltIn,1973.0,Unf,1,297,TA,TA,120,101,0,0,0,0,NA,GdWo,11,2009,Normal,91000,WD
77,8475,NAmes,1Story,4,7,1956,1956,TA,TA,No,ALQ,228,Unf,0,724,952,952,0,952,0,0,1,0,2,TA,4,Detchd,1956.0,Unf,1,283,TA,TA,0,0,0,0,0,0,NA,NA,4,2008,Normal,135750,WD
78,8635,BrkSide,1.5Fin,5,5,1948,2001,TA,TA,No,BLQ,336,GLQ,41,295,672,1072,213,1285,1,0,1,0,2,TA,6,Detchd,1948.0,Unf,1,240,TA,TA,0,0,0,0,0,0,NA,MnPrv,1,2008,Normal,127000,WD
79,10778,Sawyer,1Story,4,5,1968,1968,TA,TA,No,Unf,0,Unf,0,1768,1768,1768,0,1768,0,0,2,0,4,TA,8,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,4,2010,Normal,136500,WD
80,10440,OldTown,2Story,5,6,1910,1981,TA,TA,No,Unf,0,Unf,0,440,440,682,548,1230,0,0,1,1,2,TA,5,Detchd,1966.0,Unf,2,440,TA,TA,74,0,128,0,0,0,NA,MnPrv,5,2009,Normal,110000,WD
81,13000,NAmes,2Story,6,6,1968,1968,Gd,TA,No,Rec,448,Unf,0,448,896,1182,960,2142,0,0,2,1,4,Gd,8,Attchd,1968.0,Fin,1,509,TA,TA,0,72,0,0,252,0,NA,NA,6,2009,Normal,193500,WD
82,4500,Mitchel,1Story,6,5,1998,1998,Ex,Gd,No,GLQ,1201,Unf,0,36,1237,1337,0,1337,1,0,2,0,2,TA,5,Attchd,1998.0,Fin,2,405,TA,TA,0,199,0,0,0,0,NA,NA,3,2006,Normal,153500,WD
83,10206,Somerst,1Story,8,5,2007,2007,Gd,TA,No,GLQ,33,Unf,0,1530,1563,1563,0,1563,0,0,2,0,3,Gd,6,Attchd,2007.0,RFn,3,758,TA,TA,144,99,0,0,0,0,NA,NA,10,2008,Normal,245000,WD
84,8892,NAmes,1Story,5,5,1960,1960,TA,TA,No,Unf,0,Unf,0,1065,1065,1065,0,1065,0,0,1,1,3,TA,6,Detchd,1974.0,Unf,2,461,TA,TA,74,0,0,0,0,0,NA,NA,7,2007,Normal,126500,COD
85,8530,Gilbert,SLvl,7,5,1995,1996,Gd,TA,No,Unf,0,Unf,0,384,384,804,670,1474,0,0,2,1,3,TA,7,BuiltIn,1995.0,Fin,2,400,TA,TA,120,72,0,0,0,0,NA,NA,5,2009,Normal,168500,WD
86,16059,NoRidge,2Story,8,5,1991,1992,Gd,TA,No,Unf,0,Unf,0,1288,1288,1301,1116,2417,0,0,2,1,4,Gd,9,Attchd,1991.0,Unf,2,462,TA,TA,127,82,0,0,0,0,NA,NA,4,2006,Normal,260000,WD
87,11911,Gilbert,2Story,6,5,2005,2005,Gd,TA,Av,Unf,0,Unf,0,684,684,684,876,1560,0,0,2,1,3,Gd,6,BuiltIn,2005.0,Fin,2,400,TA,TA,100,38,0,0,0,0,NA,NA,3,2009,Normal,174000,WD
88,3951,Somerst,2Story,6,5,2009,2009,Gd,TA,Av,Unf,0,Unf,0,612,612,612,612,1224,0,0,2,1,2,Gd,4,Detchd,2009.0,RFn,2,528,TA,TA,0,234,0,0,0,0,NA,NA,6,2009,Partial,164500,New
89,8470,IDOTRR,1.5Fin,3,2,1915,1982,TA,Fa,No,Unf,0,Unf,0,1013,1013,1013,0,1526,0,0,1,0,2,Fa,6,NA,NA,NA,0,0,NA,NA,0,0,156,0,0,0,NA,MnPrv,10,2009,Abnorml,85000,ConLD
90,8070,CollgCr,1Story,4,5,1994,1995,Gd,TA,No,GLQ,588,Unf,0,402,990,990,0,990,1,0,1,0,3,TA,5,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,8,2007,Normal,123600,WD
91,7200,NAmes,1Story,4,5,1950,1950,NA,NA,NA,NA,0,NA,0,0,0,1040,0,1040,0,0,1,0,2,TA,4,Detchd,1950.0,Unf,2,420,TA,TA,0,29,0,0,0,0,NA,NA,7,2006,Normal,109900,WD
92,8500,NAmes,1Story,5,3,1961,1961,TA,TA,No,Rec,600,Unf,0,635,1235,1235,0,1235,0,0,1,0,2,TA,6,Attchd,1961.0,Unf,2,480,TA,TA,0,0,0,0,0,0,NA,GdWo,12,2006,Abnorml,98600,WD
93,13360,Crawfor,1Story,5,7,1921,2006,Gd,TA,No,ALQ,713,Unf,0,163,876,964,0,964,1,0,1,0,2,TA,5,Detchd,1921.0,Unf,2,432,TA,TA,0,0,44,0,0,0,NA,NA,8,2009,Normal,163500,WD
94,7200,OldTown,2.5Unf,6,6,1910,1998,TA,Fa,Mn,Rec,1046,Unf,0,168,1214,1260,1031,2291,0,1,2,0,4,TA,9,Detchd,1900.0,Unf,2,506,TA,TA,0,0,0,0,99,0,NA,NA,11,2007,Normal,133900,WD
95,9337,CollgCr,2Story,6,5,1997,1997,Gd,TA,No,GLQ,648,Unf,0,176,824,905,881,1786,1,0,2,1,3,Gd,7,Attchd,1997.0,RFn,2,684,TA,TA,0,162,0,0,0,0,NA,NA,5,2007,Normal,204750,WD
96,9765,Gilbert,2Story,6,8,1993,1993,Gd,Gd,No,ALQ,310,Unf,0,370,680,680,790,1470,0,0,2,1,3,TA,6,BuiltIn,1993.0,Fin,2,420,TA,TA,232,63,0,0,0,0,NA,NA,4,2009,Normal,185000,WD
97,10264,CollgCr,1Story,7,5,1999,1999,Gd,TA,Av,ALQ,1162,Unf,0,426,1588,1588,0,1588,0,0,2,0,3,Gd,6,Attchd,1999.0,RFn,2,472,TA,TA,158,29,0,0,0,0,NA,NA,8,2006,Normal,214000,WD
98,10921,Edwards,1Story,4,5,1965,1965,TA,TA,No,Rec,520,Unf,0,440,960,960,0,960,1,0,1,0,3,TA,6,Attchd,1965.0,Fin,1,432,TA,TA,120,0,0,0,0,0,NA,NA,5,2007,Normal,94750,WD
99,10625,Edwards,1Story,5,5,1920,1950,TA,TA,No,ALQ,108,Unf,0,350,458,835,0,835,0,0,1,0,2,TA,5,Basment,1920.0,Unf,1,366,Fa,TA,0,0,77,0,0,0,NA,NA,5,2010,Abnorml,83000,COD
100,9320,NAmes,1Story,4,5,1959,1959,TA,TA,No,ALQ,569,Unf,0,381,950,1225,0,1225,1,0,1,1,3,TA,6,NA,NA,NA,0,0,NA,NA,352,0,0,0,0,0,NA,NA,1,2010,Normal,128950,WD
